saccver,sname,staxonomy,sstrain,typestrain
NR_184634.1,Desulfolithobacter dissulfuricans,Bacteria; Thermodesulfobacteriota; Desulfobulbia; Desulfobulbales; Desulfobulbaceae; Desulfolithobacter,GF1,True
NR_184633.1,Leclercia tamurae,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Leclercia,H6S3,True
NR_184632.1,Silvania confinis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Silvania,H4N4,True
NR_184631.1,Silvania hatchlandensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Silvania,H19S6,True
NR_184630.1,Hominibacterium faecale,Bacteria; Bacillota; Clostridia; Eubacteriales; Eubacteriales Family XIII. Incertae Sedis; Hominibacterium,SF3,True
NR_184629.1,Futiania mangrovii,Bacteria; Pseudomonadota; Alphaproteobacteria; Futianiales; Futianiaceae; Futiania,FT118,True
NR_184628.1,Acidilutibacter cellobiosedens,Bacteria; Bacillota; Tissierellia; Tissierellales; Acidilutibacteraceae; Acidilutibacter,JN-28,True
NR_184626.1,Leptogranulimonas caecicola,Bacteria; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Leptogranulimonas,TOC12,True
NR_184625.1,Granulimonas faecalis,Bacteria; Actinomycetota; Coriobacteriia; Coriobacteriales; Atopobiaceae; Granulimonas,OPF53,True
NR_184621.1,Pollutimonas subterranea,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Pollutimonas,JR1/69-3-13,True
NR_184620.1,Pollutimonas nitritireducens,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Pollutimonas,JR1/69-2-13,True
NR_184619.1,Rasiella rasia,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Rasiella,RR4-40,True
NR_184618.1,Berryella wangjianweii,Bacteria; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae; Berryella,zg-1050,True
NR_184617.1,Xiamenia xianingshaonis,Bacteria; Actinomycetota; Coriobacteriia; Eggerthellales; Eggerthellaceae; Xiamenia,zg-886,True
NR_184616.1,Parachryseolinea silvisoli,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Fulvivirgaceae; Parachryseolinea,QH1ED-6-2,True
NR_184615.1,Horticoccus luteus,Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae; Horticoccus,KSB-15,True
NR_184614.1,Lysobacter luteus,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Lysobacter,AS29M,True
NR_184613.1,Parvicella tangerina,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Parvicellaceae; Parvicella,AS29M-1,True
NR_184612.1,Capillimicrobium parvum,Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales; Capillimicrobiaceae; Capillimicrobium,0166_1,True
NR_184611.1,Nicolia spurrieriana,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Nicolia,SGEP1_A5,True
NR_184610.1,Apilactobacillus apisilvae,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Apilactobacillus,SG5_A10,True
NR_184609.1,Bombilactobacillus folatiphilus,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Bombilactobacillus,SG4_D2,True
NR_184608.1,Bombilactobacillus thymidiniphilus,Bacteria; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Bombilactobacillus,SG4_A1,True
NR_184606.1,Jezberella montanilacus,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Jezberella,MWH-P2sevCIIIb,True
NR_184605.1,Zwartia hollandica,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Zwartia,LF4-65,True
NR_184604.1,Marinilongibacter aquaticus,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Spirosomaceae; Marinilongibacter,YYF0007,True
NR_184603.1,Pedomonas mirosovicensis,Bacteria; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Sphingosinicellaceae; Pedomonas,A1X5R2,True
NR_184602.1,Desulfoferrobacter suflitae,Bacteria; Thermodesulfobacteriota; Syntrophobacteria; Syntrophobacterales; Syntrophobacteraceae; Desulfoferrobacter,DRH4,True
NR_184601.1,Huaxiibacter chinensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Huaxiibacter,155047,True
NR_184600.1,Algicella marina,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae,9Alg 56,True
NR_184599.1,Longitalea luteola,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Longitalea,SYSU D00799,True
NR_184598.1,Longitalea arenae,Bacteria; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Longitalea,SYSU D01084,True
NR_184597.1,Abyssalbus ytuae,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Abyssalbus,MT3330,True
NR_184596.1,Mediannikoviicoccus vaginalis,Bacteria; Bacillota; Clostridia; Eubacteriales; Peptostreptococcaceae; Mediannikoviicoccus,Marseille-Q5883,True
NR_184595.1,Anaerococcus ihuae,Bacteria; Bacillota; Tissierellia; Tissierellales; Peptoniphilaceae; Anaerococcus,Marseille-Q5893,True
NR_184594.1,Brucepastera parasyntrophica,Bacteria; Spirochaetota; Spirochaetia; Spirochaetales; Treponemataceae; Brucepastera,RmG11,True
NR_184593.1,Halomarinibacterium sedimenti,Bacteria; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Halomarinibacterium,CAU 1614,True
NR_184592.1,Acididesulfobacillus acetoxydans,Bacteria; Bacillota; Clostridia; Eubacteriales; Peptococcaceae; Acididesulfobacillus,INE,True
NR_184591.1,Rhodoflexus caldus,Bacteria; Bacteroidota; Cytophagia; Cytophagales; Thermoflexibacteraceae; Rhodoflexus,SYSU G04325,True
NR_184590.1,Undibacter mobilis,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Undibacter,GY_H,True
NR_181997.1,'Nocardioides flavus',Bacteria; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Nocardioides,IFO 14396,True
NR_181991.1,Aurantimicrobium photophilum,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Aurantimicrobium,MWH-Mo1,True
NR_181990.1,Rhodopirellula islandica,Bacteria; Planctomycetota; Planctomycetia; Pirellulales; Pirellulaceae; Rhodopirellula,K833,True
NR_181989.1,Waddlia malaysiensis,Bacteria; Chlamydiota; Chlamydiia; Parachlamydiales; Waddliaceae; Waddlia,G817,True
NR_181987.1,Streptococcus vicugnae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,SL1232,True
NR_181985.1,Staphylococcus schweitzeri,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,DSM 28300,True
NR_181984.1,Staphylococcus argenteus,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,DSM 28299,True
NR_181981.1,Streptococcus zalophi,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,CSL7508,True
NR_181980.1,Streptococcus pacificus,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,CSL7591,True
NR_181979.1,Mycobacterium simulans,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,FI-09026,True
NR_181978.1,Mycoplasma enhydrae,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1501,6243-11,True
NR_181977.1,Mycoplasma procyoni,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1498,LR5794,True
NR_181975.1,Ureaplasma miroungigenitalium,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Ureaplasma. REFERENCE   1  (bases 1 to 1492,ES2783-GEN,True
NR_181974.1,Ureaplasma zalophigenitalium,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Ureaplasma. REFERENCE   1  (bases 1 to 1492,CSL7644-GEN,True
NR_181972.1,Mycoplasma phocoeninasale,Bacteria; Mycoplasmatota; Mollicutes; Mycoplasmataceae; Mycoplasma. REFERENCE   1  (bases 1 to 1495,C264-NAS,True
